Unnamed: 0,id1,id2,label,prompt1_en_short_temp_0_gpt3.5-0301,match_prompt_manual_fewshot_1_eval2_temp_0_gpt3.5_0301,match_prompt_auto_fewshot_1_eval2_temp_0_gpt3.5_0301,match_prompt_auto_fewshot_2_ama_wal_eval2_temp_0_gpt3.5_0301,match_prompt_auto_fewshot_ama_wal_4examples_eval2_temp_0_gpt3.5_0301,prompt1_en_short_temp_0_gpt4-0613
0,7784,23390,True,True,False,False,False,False,False
1,15123,23390,True,False,False,False,False,True,False
2,21113,23390,True,True,True,True,False,True,True
3,7384,22973,True,True,True,True,True,True,True
4,11344,22973,True,False,True,False,True,True,False
5,15336,22973,True,True,True,True,True,True,True
6,8176,24537,True,True,True,True,True,True,True
7,14118,24537,True,True,True,True,True,True,True
8,20398,23769,True,True,True,False,False,True,True
9,11027,23769,True,True,True,False,False,True,True
10,3794,23769,True,True,True,False,True,True,True
11,20393,22550,True,True,True,True,True,True,True
12,12747,22550,True,True,True,False,False,True,True
13,782,22550,True,True,True,False,False,False,True
14,13593,23541,True,False,True,False,False,False,True
15,15576,23541,True,True,False,True,False,False,True
16,11642,23541,True,False,False,False,False,False,True
17,19007,24211,True,False,False,False,False,True,True
18,4706,24211,True,True,False,False,False,True,True
19,18171,23283,True,True,True,True,True,True,True
20,3255,23283,True,True,True,True,True,True,True
21,16936,23283,True,True,True,True,True,True,True
22,16351,22223,True,True,True,True,True,True,True
23,18937,22223,True,True,True,False,True,True,False
24,16399,22223,True,True,True,False,True,True,True
25,15490,23851,True,True,True,True,True,True,True
26,16438,23851,True,True,False,True,False,False,True
27,13180,23851,True,False,False,False,False,False,False
28,4283,22090,True,True,True,False,False,False,True
29,17365,22090,True,False,False,True,True,True,True
30,17811,22090,True,False,False,False,False,True,True
31,7150,22471,True,False,False,False,False,False,False
32,17849,22471,True,True,True,True,True,True,True
33,7145,22471,True,True,True,True,True,True,True
34,4510,24230,True,False,False,False,False,False,False
35,17865,24230,True,False,False,False,False,False,False
36,4319,24230,True,False,False,False,False,False,False
37,6971,24419,True,True,True,True,True,True,True
38,14945,24419,True,False,True,False,True,True,True
39,4985,24419,True,False,True,False,True,True,True
40,10576,23515,False,False,False,False,False,False,False
41,10577,23515,False,False,False,False,False,False,False
42,10580,23515,False,False,False,False,False,False,False
43,10582,23515,False,False,False,False,False,False,False
44,10584,23515,False,False,False,False,False,False,False
45,15904,23515,False,False,False,False,False,False,False
46,23515,2502,False,False,False,False,False,False,False
47,23515,2648,False,False,False,False,False,False,False
48,23515,2651,False,False,False,False,False,False,False
49,23515,2659,False,False,False,False,False,False,False
50,11222,23060,False,False,False,False,False,False,False
51,11222,23393,False,False,False,False,False,False,False
52,11732,23815,False,False,False,False,False,False,False
53,11732,23827,False,False,False,False,False,False,False
54,11732,23844,False,False,False,False,False,False,False
55,11732,23897,False,False,False,False,False,False,False
56,11732,23900,False,False,False,False,False,False,False
57,11732,23962,False,False,False,False,False,False,False
58,11732,23992,False,False,False,False,False,False,False
59,11732,24118,False,False,False,False,False,False,False
60,11732,24273,False,False,False,False,False,False,False
61,10194,22287,False,False,False,False,False,False,False
62,10194,22357,False,False,False,False,False,False,False
63,10194,22869,False,False,False,False,False,False,False
64,10194,23122,False,False,False,False,False,False,False
65,10194,23173,False,False,False,False,False,False,False
66,10194,23635,False,False,False,False,False,False,False
67,10194,24027,False,False,False,True,False,True,False
68,10194,24160,False,False,False,False,False,False,False
69,11725,23589,False,False,False,False,False,False,False
70,11725,23827,False,False,False,False,False,False,False
71,11725,23844,False,False,False,False,False,False,False
72,13772,23436,False,False,False,False,False,False,False
73,21193,23844,False,False,False,False,False,False,False
74,13979,23999,False,False,False,False,False,False,False
75,21228,23999,False,False,False,False,False,False,False
76,21303,23999,False,False,False,False,False,False,False
77,11578,23738,False,False,False,False,False,False,False
78,21003,23738,False,False,False,False,False,False,False
79,21815,23738,False,False,False,False,False,False,False
80,23738,6777,False,False,False,False,False,False,False
81,23738,6778,False,False,False,False,False,False,False
82,10576,23733,False,False,False,False,False,False,False
83,10577,23733,False,False,False,False,False,False,False
84,10580,23733,False,False,False,False,False,False,False
85,10582,23733,False,False,False,False,False,False,False
86,10584,23733,False,False,False,False,False,False,False
87,10586,23733,False,False,False,False,False,False,False
88,10759,23221,False,False,False,False,False,False,False
89,13771,23221,False,False,False,False,False,False,False
90,13772,23221,False,False,False,False,False,False,False
91,21128,23221,False,False,False,False,False,False,False
92,23221,2832,False,True,False,False,False,False,False
93,23221,2833,False,False,False,False,False,False,False
94,10218,23983,False,False,False,False,False,False,False
95,11222,23983,False,False,False,False,False,False,False
96,11725,23983,False,False,False,False,False,False,False
97,11732,23983,False,False,False,False,False,False,False
98,21193,23983,False,False,False,False,False,False,False
99,21305,23983,False,False,False,False,False,False,False
100,21380,23983,False,False,False,False,False,False,False
101,21753,23983,False,False,False,False,False,False,False
102,21996,23983,False,False,False,False,False,False,False
103,23983,9274,False,False,False,False,False,False,False
104,10194,24494,False,False,False,False,False,False,False
105,10664,23060,False,False,False,False,False,False,False
106,10664,23393,False,False,False,False,False,False,False
107,10664,23844,False,False,False,False,False,False,False
108,10664,24170,False,False,False,False,False,False,False
109,10402,22393,False,False,False,False,False,False,False
110,10402,23382,False,False,False,False,False,False,False
111,10402,23383,False,False,False,False,False,False,False
112,10402,23824,False,False,False,False,False,False,False
113,10402,23940,False,False,False,False,False,False,False
114,10654,22883,False,False,False,False,False,False,False
115,10654,23150,False,False,False,False,False,False,False
116,10654,23515,False,False,False,False,False,False,False
117,10654,23733,False,False,False,False,False,False,False
118,10654,23845,False,False,False,False,False,False,False
119,10654,24192,False,False,False,False,False,False,False
120,10398,22843,False,False,False,False,False,False,False
121,10398,23999,False,False,False,False,False,False,False
122,10399,22843,False,False,False,False,False,False,False
123,10399,23999,False,False,False,False,False,False,False
124,10399,22686,False,False,False,False,True,False,False
125,19551,22686,False,False,False,False,False,False,False
126,10402,22941,False,False,False,False,False,False,False
127,19045,22941,False,False,False,False,False,False,False
128,19240,22941,False,False,False,False,False,False,False
129,19569,22941,False,False,False,False,False,False,False
130,20300,22941,False,False,False,False,False,False,False
