"id1"	"id2"
1	23388
1	23558
2	24373
2	24418
10	22616
10	22637
10	23074
11	22081
11	22109
11	24367
11	24449
11	24480
12	22081
12	22100
12	22109
12	24314
12	24449
12	24480
12	24487
12	24545
13	22081
13	22100
13	22109
13	24480
14	24449
14	24480
18	22650
19	23138
24	24427
100	24060
105	24101
105	24281
106	24010
106	24074
106	24118
106	24140
106	24170
106	24272
108	24041
108	24081
108	24158
108	24231
109	24192
110	24019
114	24309
115	24286
115	24309
116	24286
116	24309
119	24099
120	24034
120	24071
120	24095
120	24156
120	24188
120	24189
120	24190
120	24213
120	24219
120	24295
120	24297
121	24242
122	24019
122	24291
126	24144
126	24224
127	24224
127	24304
128	24144
128	24224
128	24304
129	24012
130	24012
130	24080
131	24177
131	24294
132	24181
136	24062
136	24306
139	24007
139	24023
139	24052
139	24056
139	24077
139	24131
139	24159
139	24172
140	24019
142	24007
142	24023
142	24052
142	24077
142	24159
142	24172
143	24059
143	24138
145	24082
147	23725
147	23820
157	24067
157	24093
157	24152
166	24207
1000	22589
1000	22657
1000	23230
1000	23377
1000	23690
1000	23946
1000	24486
1001	22589
1001	22657
1001	23377
1001	23690
1001	24486
1004	22199
1004	22849
1004	22975
1004	23119
1004	23189
1004	23724
1004	24150
1004	24446
1004	24551
1009	22199
1009	22849
1009	22975
1009	23119
1009	23189
1009	23724
1009	24150
1009	24446
1009	24551
1015	22863
1023	22081
1023	22100
1023	24367
1023	24419
1023	24480
1023	24525
1025	23271
1025	24588
1030	24314
1030	24329
1030	24370
1030	24419
1030	24424
1030	24440
1030	24480
1030	24487
1030	24545
1034	22100
1034	22109
1034	24419
1034	24449
1034	24480
1034	24525
1042	24314
1042	24329
1042	24367
1042	24370
1042	24419
1042	24424
1042	24440
1042	24449
1042	24480
1042	24487
1042	24545
1045	24367
1045	24419
1045	24449
1045	24480
1050	24314
1050	24329
1050	24367
1050	24370
1050	24419
1050	24424
1050	24440
1050	24449
1050	24480
1050	24487
1050	24545
1055	22385
1055	22428
1055	22612
1055	22817
1055	23016
1055	23040
1055	23488
1055	23526
1055	23576
1055	23621
1055	23731
1055	23963
1055	24099
1055	24392
1055	24592
1056	22081
1056	24367
1056	24449
1056	24480
1056	24525
1057	24419
1058	22193
1079	22081
1079	22100
1079	22109
1079	24367
1079	24449
1079	24480
1079	24525
1080	23089
1083	22118
1083	24337
1083	24340
1083	24385
1083	24578
1088	22233
1088	22293
1088	22450
1089	22233
1089	22293
1106	22679
1106	23215
1106	24600
1107	24374
1108	22679
1108	24600
1109	22696
1109	22820
1112	22089
1113	22075
1113	22086
1113	22087
1113	22119
1113	22135
1113	22151
1113	22152
1113	22187
1113	22227
1113	22228
1113	22246
1113	22271
1113	22273
1113	22275
1113	22375
1113	22376
1113	22406
1113	22407
1113	22442
1113	22443
1113	22444
1113	22475
1113	22477
1113	22478
1113	22516
1113	22517
1113	22518
1113	22520
1113	22561
1113	22562
1113	22563
1113	22564
1113	22595
1113	22627
1113	22628
1113	22665
1113	22682
1113	22683
1113	22725
1113	22726
1113	22728
1113	22802
1113	22804
1113	22805
1113	22806
1113	22837
1113	22838
1113	22888
1113	22890
1113	22919
1113	22989
1113	23026
1113	23027
1113	23055
1113	23056
1113	23116
1113	23117
1113	23118
1113	23153
1113	23154
1113	23190
1113	23191
1113	23233
1113	23278
1113	23279
1113	23318
1113	23348
1113	23349
1113	23350
1113	23402
1113	23403
1113	23405
1113	23406
1113	23407
1113	23450
1113	23485
1113	23519
1113	23520
1113	23566
1113	23567
1113	23569
1113	23570
1113	23599
1113	23630
1113	23704
1113	23751
1113	23752
1113	23753
1113	23755
1113	23986
1113	23987
1113	23988
1113	23989
1113	24016
1113	24085
1113	24116
1113	24141
1113	24142
1113	24179
1113	24212
1113	24244
1113	24246
1113	24248
1113	24249
1113	24250
1113	24278
1113	24279
1113	24280
1113	24302
1113	24430
1113	24490
1113	24492
1113	24529
1113	24530
1113	24568
1113	24569
1113	24603
1113	24604
1113	24605
1113	24608
1113	24620
1113	24622
1119	22089
1121	24397
1128	22580
1130	22105
1130	24470
1130	24516
1130	24556
1131	22105
1132	24368
1133	24470
1133	24556
1137	24366
1140	22251
1140	22747
1140	22785
1143	24420
1148	22230
1150	22558
1151	24627
1154	22445
1157	22462
1157	22707
1162	22262
1162	24514
1164	24346
1165	23109
1167	22076
1167	22140
1167	22268
1167	22431
1167	22510
1167	22552
1167	22617
1167	22738
1177	22076
1177	22140
1177	22267
1177	22268
1177	22431
1177	22510
1177	22552
1188	22352
1188	22416
1188	22423
1188	22560
1188	22693
1188	22704
1188	22732
1188	22850
1188	22990
1194	22522
1196	24617
1197	22656
1197	22979
1197	23211
1197	24511
1199	22195
1199	22709
1199	22765
1199	22780
1199	24552
1204	22150
1204	22186
1207	22150
1207	22186
1207	22225
1210	22150
1210	22186
1210	22225
1219	24370
1219	24487
1219	24610
1220	24470
1220	24556
1221	22349
1228	22549
1229	22549
1232	22616
1233	22107
1233	22115
1233	22128
1233	22166
1233	22167
1233	22241
1233	22289
1233	22319
1233	22355
1233	22402
1233	24436
1233	24438
1233	24579
1233	24616
1233	24621
1237	22082
1237	22143
1237	23315
1240	23093
1241	22078
1241	22239
1241	22266
1243	22078
1243	22239
1245	24615
1247	22820
1251	22248
1254	22168
1255	22105
1255	24556
1256	22091
1256	22748
1264	24314
1267	22189
1267	22995
1270	24403
